364;TERLIZZI;D;5.50;5.50;Catania;0;0
365;TERZI;D;6.00;6.00;Bologna;0;0
366;TONETTO;D;5.00;4.50;Roma;0;0
367;VALDEZ;D;6.50;6.50;Reggina;0;0
368;VANDENBORRE;D;6.00;6.00;Genoa;0;0
369;VARGAS;D;6.50;6.50;Fiorentina;0;0
371;ZAMBROTTA;D;6.00;6.00;Milan;0;0
375;ZENONIC.;D;5.00;5.00;Bologna;0;0
377;PAPASTATHOPOULOS;D;6.50;6.50;Genoa;0;0
380;FERRARI;D;6.00;5.50;Genoa;0;0
381;BOTTINELLI;D;6.50;6.50;Sampdoria;0;0
387;MOTI C.;D;0.00;0.00;Siena;0;0
389;YEPES M.;D;5.00;5.00;Chievo;0;0
501;ABATE;C;6.00;6.00;Torino;0;0
502;ALMIRON;C;6.00;6.00;Fiorentina;0;0
503;AMBROSINI;C;5.50;5.00;Milan;0;0
507;ARDITO;C;5.50;5.50;Lecce;0;0
508;ARIATTI;C;6.00;5.50;Lecce;0;0
511;BARONE;C;5.50;5.00;Torino;0;0
513;BARRETO E.;C;6.50;6.50;Reggina;0;0
515;BENTIVOGLIO;C;5.50;5.50;Chievo;0;0
516;BIAGIANTI;C;5.00;5.00;Catania;0;0
517;BIONDINI;C;7.00;7.50;Cagliari;0;1
518;BLASI;C;6.00;5.50;Napoli;0;0
521;BOMBARDINI;C;6.00;5.50;Bologna;0;0
524;BRESCIANO;C;6.00;5.50;Palermo;0;0
525;BRIENZA;C;6.00;6.00;Reggina;0;0
526;BRIGHI;C;5.50;5.50;Roma;0;0
527;BROCCHI;C;6.50;6.50;Lazio;0;0
531;CARBONI;C;5.00;5.00;Catania;0;0
532;CARMONA;C;6.00;6.00;Reggina;0;0
535;CASERTA;C;6.00;6.00;Lecce;0;0
537;CIGARINI;C;7.00;6.50;Atalanta;0;0
538;CODREA;C;7.00;7.00;Siena;0;0
545;COSSU;C;6.50;6.00;Cagliari;0;0
547;COZZA;C;6.50;6.50;Reggina;0;0
551;D`AGOSTINO G.;C;6.50;6.50;Udinese;0;0
553;D`ANNA;C;0.00;0.00;Chievo;0;0
554;DE ASCENTIS;C;0.00;-0.50;Atalanta;0;0
556;DE ROSSI;C;5.50;5.50;Roma;0;0
557;DE SILVESTRI;C;0.00;0.00;Lazio;0;0
560;DEL VECCHIO;C;6.50;9.50;Sampdoria;1;0
561;DESSENA;C;6.00;6.00;Sampdoria;0;0
562;DI GENNARO;C;6.00;6.00;Reggina;0;0
564;DIANA;C;5.00;5.00;Torino;0;0
566;DONADEL;C;6.00;6.00;Fiorentina;0;0
567;DONI C.;C;5.00;5.00;Atalanta;0;0
570;EMERSON;C;6.00;6.00;Milan;0;0
574;FABIANOM.;C;5.50;5.00;Lecce;0;0
577;FERREIRA PINTO;C;6.50;6.50;Atalanta;0;0
579;FINI;C;7.00;11.00;Cagliari;1;1
581;FLAMINI;C;5.50;5.50;Milan;0;0
582;FOGGIA;C;5.00;4.50;Lazio;0;0
583;FRANCESCHINI D.;C;6.50;7.50;Sampdoria;0;1
584;GALLOPPA;C;7.00;7.00;Siena;0;0
585;GARGANO;C;6.50;6.50;Napoli;0;0
587;GATTUSO;C;7.00;6.50;Milan;0;0
588;GIACOMAZZI;C;6.50;6.50;Lecce;0;0
589;GIOVINCO;C;5.50;5.00;Juventus;0;0
594;GUARENTE;C;6.00;5.50;Atalanta;0;0
596;HAMSIK;C;5.50;5.50;Napoli;0;0
597;INLER;C;7.00;7.00;Udinese;0;0
598;ISLA;C;7.00;6.50;Udinese;0;0
599;ITALIANO;C;5.00;4.50;Chievo;0;0
600;JANKOVIC;C;0.00;0.00;Genoa;0;0
601;JAROLIM;C;0.00;0.00;Siena;0;0
605;JURIC;C;4.50;3.50;Genoa;0;0
606;KAKA;C;6.00;9.00;Milan;1;0
607;KHARJA;C;6.00;6.00;Siena;0;0
610;KUZMANOVIC;C;6.50;6.50;Fiorentina;0;0
612;LEDESMA C.;C;6.00;6.00;Lazio;0;0
614;LICHTSTEINER;C;6.00;5.50;Lazio;0;0
615;LIVERANI;C;5.00;4.50;Palermo;0;0
616;LUCIANO;C;5.50;5.50;Chievo;0;0
617;MAGGIO;C;6.00;6.00;Napoli;0;0
620;MANFREDINI C.;C;6.50;6.50;Lazio;0;0
621;MANNINI;C;6.00;6.00;Napoli;0;0
623;MARCHIONNI;C;6.00;6.00;Juventus;0;0
625;MARCOLINI;C;5.50;5.50;Chievo;0;0
628;MAURI;C;5.50;5.00;Lazio;0;0
630;MESTO;C;6.50;6.50;Genoa;0;0
634;MINGAZZINI;C;5.00;4.50;Bologna;0;0
639;MONTOLIVO;C;6.00;5.50;Fiorentina;0;0
642;MUNTARI;C;6.00;5.50;Inter;0;0
644;NEDVED;C;6.50;6.50;Juventus;0;0
645;NOCERINO;C;5.50;5.50;Palermo;0;0
648;PADALINO;C;6.50;6.50;Sampdoria;0;0
649;PADOIN;C;6.00;6.00;Atalanta;0;0
653;PAROLA;C;6.00;6.00;Cagliari;0;0
656;PERROTTA;C;6.00;6.00;Roma;0;0
657;PINZI;C;5.00;4.50;Chievo;0;0
659;PIZARRO;C;6.00;6.00;Roma;0;0
666;ROSINA;C;5.00;5.00;Torino;0;0
667;ROSSIM.;C;6.50;6.50;Genoa;0;0
669;SAMMARCO;C;6.50;6.00;Sampdoria;0;0
670;SANTANA;C;7.50;8.50;Fiorentina;0;1
672;SCULLI;C;6.00;6.00;Genoa;0;0
675;SIMPLICIO;C;6.50;9.50;Palermo;1;0
677;SISSOKO M.;C;6.50;6.00;Juventus;0;0
678;STANKOVIC;C;6.50;6.50;Inter;0;0
679;TADDEI;C;5.00;5.00;Roma;0;0
680;TEDESCO Gia.;C;5.50;5.00;Catania;0;0
684;TOGNOZZI;C;0.00;0.00;Reggina;0;0
686;VALDES;C;0.00;0.00;Atalanta;0;0
687;VALIANI;C;5.00;5.00;Bologna;0;0
688;VERGASSOLA;C;7.00;7.00;Siena;0;0
690;VIGIANI;C;7.00;7.00;Reggina;0;0
692;VOLPI;C;6.00;6.00;Bologna;0;0
695;ZANETTI J.;C;5.50;5.50;Inter;0;0
696;ZANETTI P.;C;5.00;4.50;Torino;0;0
705;Menez;C;5.50;5.50;Roma;0;0
709;MARCHINI D.;C;5.00;5.00;Bologna;0;0
710;QUARESMA;C;5.50;5.50;Inter;0;0
712;THIAGO MOTTA;C;6.50;6.00;Genoa;0;0
713;LLAMA C.;C;4.50;4.50;Catania;0;0
801;ABBRUSCATO;A;5.50;5.50;Torino;0;0
802;ACQUAFRESCA;A;7.00;10.00;Cagliari;1;0
803;ADAILTON;A;0.00;0.00;Bologna;0;0
804;ADRIANO;A;5.00;5.00;Inter;0;0
805;AMAURI;A;7.00;10.00;Juventus;1;0
806;AMORUSO;A;0.00;0.00;Torino;0;0
808;BALOTELLI;A;5.00;5.00;Inter;0;0
809;BELLUCCI;A;7.00;9.50;Sampdoria;1;0
810;BERNACCI;A;5.00;5.00;Bologna;0;0
812;BOGDANI;A;5.50;5.50;Chievo;0;0
813;BONAZZOLI;A;0.00;0.00;Sampdoria;0;0
814;BORRIELLO;A;6.50;7.50;Milan;0;1
816;CACIA;A;6.00;6.00;Lecce;0;0
817;CALAIO;A;6.00;9.00;Siena;1;0
819;CASSANO;A;7.50;8.50;Sampdoria;0;1
821;CAVANI;A;7.00;8.00;Palermo;0;1
823;CERCI;A;0.00;0.00;Atalanta;0;0
827;CRUZ;A;5.50;5.50;Inter;0;0
831;DEL PIERO;A;6.00;6.00;Juventus;0;0
833;DENIS;A;6.00;6.00;Napoli;0;0
835;DI NATALE;A;7.50;13.50;Udinese;2;0
836;DI VAIO;A;5.50;5.50;Bologna;0;0
838;Esposito M.;A;5.00;4.50;Chievo;0;0
840;FLOCCARI;A;5.50;5.50;Atalanta;0;0
841;FLORO FLORES;A;8.00;11.50;Udinese;1;1
847;GHEZZAL;A;7.50;7.50;Siena;0;0
848;GILARDINO;A;5.50;9.50;Fiorentina;1;1
850;IAQUINTA;A;0.00;0.00;Juventus;0;0
