260;DIAMOUTENE;Souleymane;D;LECCE
261;DIGAO;Rodrigo Izecson Santos Leite;D;
262;DOMIZZI;Maurizio;D;NAPOLI
263;ESPOSITO;Andrea;D;LECCE
264;FAVALLI;Giuseppe;D;MILAN
265;FELIPE;Da Silva Dalbelo Dias;D;UDINESE
266;FERRI;Michele;D;CAGLIARI
267;FERRONETTI;Damiano;D;UDINESE
268;FICAGNA;Daniele;D;SIENA
269;FRANCESCHINI;Ivan;D;TORINO
270;FREY;Nicolas;D;CHIEVO
271;GAMBERINI;Alessandro;D;FIORENTINA
272;GARICS;Gyorgy;D;ATALANTA
273;GASTALDELLO;Daniele;D;SAMPDORIA
274;GAZZOLA;Marcello;D;
275;GIOSA;Antonio;D;REGGINA
276;GIULIATTO;Alberto;D;LECCE
277;GRAVA;Gianluca;D;NAPOLI
278;GRYGERA;Zdenek;D;JUVENTUS
279;JANKULOVSKI;Marek;D;MILAN
280;JUAN;Silveira dos Santos;D;ROMA
281;KALADZE;Kakha;D;MILAN
282;KJAER;Simon;D;PALERMO
283;KNEZEVIC;Dario;D;JUVENTUS
284;KROLDRUP;Per;D;FIORENTINA
285;LANNA;Salvatore;D;BOLOGNA
286;LANZARO;Maurizio;D;REGGINA
287;LEGROTTAGLIE;Nicola;D;JUVENTUS
288;LOPEZ;Diego Luis;D;CAGLIARI
289;LORIA;Simone;D;ROMA
290;LUCCHINI;Stefano;D;SAMPDORIA
291;LUKOVIC;Aleksandar;D;UDINESE
292;MAGLIOCCHETTI;Daniele;D;CAGLIARI
293;MAICON;Douglas;D;INTER
294;MALAGO';Marco;D;CHIEVO
295;MALDINI;Paolo;D;MILAN
296;MALDONADO;Ruben;D;
297;MANDELLI;Davide;D;CHIEVO
298;MANFREDINI;Thomas;D;ATALANTA
299;MANTOVANI;Andrea;D;CHIEVO
300;MARCHESE;Giovanni;D;
301;MATERAZZI;Marco;D;INTER
302;MAXWELL;Andrade;D;INTER
303;MAZUCH;Ondrej;D;FIORENTINA
304;MELARA;Matteo;D;
305;MELLBERG;Olof;D;JUVENTUS
306;MEXES;Philippe;D;ROMA
307;MIHOUBI;Hemza;D;LECCE
308;MINELLI;Mauro;D;
309;MOLINARO;Cristian;D;JUVENTUS
310;MORAS;Vangelis;D;BOLOGNA
311;MORO;Fabio;D;CHIEVO
312;MOTTA;Marco;D;UDINESE
313;NATALI;Cesare;D;TORINO
314;NEF;Alain;D;UDINESE
315;NESTA;Alessandro;D;MILAN
316;ODDO;Massimo;D;MILAN
317;OGBONNA;Angelo;D;TORINO
318;PANUCCI;Christian;D;ROMA
319;PASQUAL;Manuel;D;FIORENTINA
320;PASQUALE;Giovanni;D;UDINESE
321;PELLEGRINO;Maximiliano;D;ATALANTA
322;PIERI;Mirko;D;SAMPDORIA
323;PISANO;Francesco;D;CAGLIARI
324;PISANO;Marco;D;TORINO
325;POLENGHI;Tiziano;D;LECCE
326;POLENTA;Diego;D;GENOA
327;PORTANOVA;Daniele;D;SIENA
328;POTENZA;Alessandro;D;GENOA
329;RADU;Stefan;D;LAZIO
330;RAGGI;Andrea;D;PALERMO
331;RICKLER;Cesare Gianfranco;D;CHIEVO
332;RIISE;John Arne;D;ROMA
333;RINAUDO;Leandro;D;NAPOLI
334;RIVALTA;Claudio;D;ATALANTA
335;RIVAS;Nelson Enrique;D;INTER
336;RIZZO;Antonio;D;REGGINA
337;RODRIGUEZ;Diego;D;BOLOGNA
338;ROLANDONE;Gianluca;D;TORINO
339;ROSSETTINI;Luca;D;SIENA
340;ROSSI;Andrea;D;SIENA
341;ROSSINI;Jonathan;D;SAMPDORIA
342;ROZEHNAL;David;D;LAZIO
343;RUBIN;Matteo;D;TORINO
344;SABATO;Rocco;D;CATANIA
345;SAMUEL;Walter;D;INTER
346;SANTACROCE;Fabiano;D;NAPOLI
347;SANTOS;Gleison Pintos;D;REGGINA
348;SARDO;Gennaro;D;CATANIA
349;SAVINI;Mirko;D;NAPOLI
350;SCARDINA;Francesco;D;CHIEVO
351;SCHIAVI;Raffaele;D;LECCE
352;SIGNORINI;Andrea;D;GENOA
353;SILVESTRE;Matias;D;CATANIA
354;SILVESTRI;Cristian;D;CATANIA
355;SIMIC;Dario;D;
356;SISSOKO;Mohamadou;D;UDINESE
357;SIVIGLIA;Sebastiano;D;LAZIO
358;SOTTIL;Andrea;D;CATANIA
359;STANKEVICIUS;Marius;D;SAMPDORIA
360;STENDARDO;Guglielmo;D;LAZIO
361;STOVINI;Lorenzo;D;CATANIA
362;TAGLIANI;Massimiliano;D;FIORENTINA
363;TALAMONTI;Leonardo Jose';D;ATALANTA
364;TERLIZZI;Christian;D;CATANIA
365;TERZI;Claudio;D;BOLOGNA
366;TONETTO;Max;D;ROMA
367;VALDEZ;Carlos Adrian;D;REGGINA
368;VANDEN BORRE;Anthony;D;GENOA
369;VARGAS;Juan;D;FIORENTINA
370;VOLTA;Massimo;D;SAMPDORIA
371;ZAMBROTTA;Gianluca;D;MILAN
372;ZAPATA;Cristian Eduardo;D;UDINESE
373;ZAURI;Luciano;D;FIORENTINA
374;ZEBINA;Jonathan;D;JUVENTUS
375;ZENONI;Cristian;D;BOLOGNA
376;ZUNIGA;Juan Camilo;D;SIENA
377;PAPASTATHOPOULOS;Sokratis;D;GENOA
378;PRATALI;Francesco;D;TORINO
379;VUJADINOVIC;Nikola;D;UDINESE
380;FERRARI;Matteo;D;GENOA
381;BOTTINELLI;Jonathan;D;SAMPDORIA
382;SANTON;Davide;D;INTER
383;TUIA;Alessandro;D;LAZIO
384;SALA;Luigi;D;UDINESE
385;SENDEROS;Philippe;D;MILAN
501;ABATE;Ignazio;C;TORINO
502;ALMIRON;Sergio Bernardo;C;FIORENTINA
503;AMBROSINI;Massimo;C;MILAN
504;AMODIO;Nicolas;C;NAPOLI
505;AMOROSO;Christian;C;BOLOGNA
506;AQUILANI;Alberto;C;ROMA
507;ARDITO;Andrea;C;LECCE
