346;SANTACROCE Fabiano;D;5.50;5.50;NAP;0;0;
350;SCARDINA Francesco;D;5.50;5.50;CHI;0;0;
351;SCHIAVI Raffaele;D;5.50;5.00;LEC;0;0;
353;SILVESTRE Matias;D;5.00;5.00;CAT;0;0;
357;SIVIGLIA Sebastiano;D;5.50;5.50;LAZ;0;0;
359;STANKEVICIUS Marius;D;4.50;4.00;SAM;0;0;
361;STOVINI Lorenzo;D;6.00;6.00;CAT;0;0;
363;TALAMONTI Leonardo Jose';D;5.50;5.50;ATA;0;0;
365;TERZI Claudio;D;6.50;6.50;BOL;0;0;
367;VALDEZ Carlos Adrian;D;6.50;6.00;REG;0;0;
371;ZAMBROTTA Gianluca;D;6.50;7.50;MIL;0;1;
372;ZAPATA Cristian Eduardo;D;4.00;4.00;UDI;0;0;
374;ZEBINA Jonathan;D;6.00;6.00;JUV;0;0;
375;ZENONI Cristian;D;6.50;6.50;BOL;0;0;
376;ZUNIGA Juan Camilo;D;7.00;7.00;SIE;0;0;
380;FERRARI Matteo;D;5.50;5.00;GEN;0;0;
382;SANTON Davide;D;6.00;6.00;INT;0;0;
385;SENDEROS Philippe;D;5.00;5.00;MIL;0;0;
386;MORERO Santiago;D;6.00;6.00;CHI;0;0;
389;YEPES Mario Alberto;D;6.50;6.00;CHI;0;0;
391;PELUSO Federico;D;5.00;4.50;ATA;0;0;
392;KRAJCIK Matej;D;6.00;6.00;REG;0;0;
393;ARIAUDO Lorenzo;D;6.00;6.00;JUV;0;0;
501;ABATE Ignazio;C;6.00;6.00;TOR;0;0;
505;AMOROSO Christian;C;7.00;8.00;BOL;0;1;
509;BAIOCCO Davide;C;5.50;5.50;CAT;0;0;
510;BARILLA' Antonino;C;5.50;5.00;REG;0;0;
511;BARONE Simone;C;6.50;6.50;TOR;0;0;
515;BENTIVOGLIO Simone;C;5.50;5.00;CHI;0;0;
516;BIAGIANTI Marco;C;6.00;6.00;CAT;0;0;
518;BLASI Manuele;C;5.00;5.00;NAP;0;0;
519;BOGLIACINO Mariano;C;5.50;5.50;NAP;0;0;
521;BOMBARDINI Davide;C;6.50;6.50;BOL;0;0;
525;BRIENZA Franco;C;4.50;4.50;REG;0;0;
526;BRIGHI Matteo;C;6.50;6.50;ROM;0;0;
527;BROCCHI Christian;C;6.00;5.50;LAZ;0;0;
529;CAMBIASSO Esteban Matias;C;8.00;8.00;INT;0;0;
531;CARBONI Ezequiel;C;6.00;6.00;CAT;0;0;
532;CARMONA Carlos Emilio;C;6.00;5.50;REG;0;0;
534;CASCIONE Emmanuel;C;0.00;0.00;REG;0;0;
535;CASERTA Fabio;C;6.00;6.00;LEC;0;0;
537;CIGARINI Luca;C;6.50;6.50;ATA;0;0;
539;COELHO Dyego Rocha;C;5.00;5.00;BOL;0;0;
540;COLUCCI Giuseppe;C;5.50;5.50;CHI;0;0;
542;CONTI Daniele;C;6.00;6.00;CAG;0;0;
543;COPPOLA Manuel;C;6.00;5.50;SIE;0;0;
544;CORINI Eugenio;C;6.00;5.50;TOR;0;0;
545;COSSU Andrea;C;6.50;6.50;CAG;0;0;
547;COZZA Francesco;C;5.50;5.50;REG;0;0;
551;D'AGOSTINO Gaetano;C;5.50;5.00;UDI;0;0;
554;DE ASCENTIS Diego;C;6.00;6.00;ATA;0;0;
556;DE ROSSI Daniele;C;4.50;3.50;ROM;0;0;
557;DE SILVESTRI Lorenzo;C;6.00;6.00;LAZ;0;0;
559;DEFENDI Marino;C;6.00;6.00;ATA;0;0;
561;DESSENA Daniele;C;6.00;6.00;SAM;0;0;
562;DI GENNARO Davide;C;0.00;0.00;REG;0;0;
566;DONADEL Marco;C;6.00;6.00;FIO;0;0;
574;FABIANO Medina da Silva;C;5.00;5.00;LEC;0;0;
575;FELIPE MELO de Carvalho;C;5.50;5.50;FIO;0;0;
577;FERREIRA PINTO Adriano;C;6.00;6.00;ATA;0;0;
