111;Buffon;P;JUV
134;Julio Cesar;P;INT
123;Doni;P;ROM
128;Frey;P;FIO
136;Kalac;P;MIL
103;Amelia;P;PAL
114;Carrizo;P;LAZ
131;Handanovic;P;UDI
153;Sereni;P;TOR
132;Iezzo;P;NAP
141;Mirante;P;SAM
151;Rubinho;P;GEN
119;Coppola;P;ATA
155;Sorrentino;P;CHI
104;Antonioli;P;BOL
113;Campagnolo;P;REG
109;Benussi;P;LEC
110;Bizzarri;P;CAT
120;Curci;P;SIE
139;Marchetti;P;CAG
115;Castellazzi;P;SAM
101;Abbiati;P;MIL
126;Fontana A.;P;PAL
148;Polito;P;CAT
112;Calderoni;P;TOR
124;Eleftheropoulos;P;SIE
138;Manninger;P;JUV
105;Aresti;P;CAG
106;Arthur;P;ROM
107;Avramov;P;FIO
108;Belardi;P;UDI
116;Chimenti;P;JUV
117;Colombo;P;BOL
118;Consigli;P;ATA
121;Degre';P;LAZ
122;Dida;P;MIL
125;Fiorillo;P;SAM
160;Fontana A.m.;P;TOR
129;Gadignani;P;BOL
130;Gianello;P;NAP
133;Jaakkola;P;SIE
135;Julio Sergio B.;P;ROM
137;Kosicky;P;CAT
159;Lamantia;P;GEN
140;Marino;P;REG
142;Muslera;P;LAZ
143;Navarro;P;NAP
144;Novembre;P;JUV
145;Orlandoni;P;INT
146;Padelli;P;SAM
149;Puggioni;P;REG
150;Rosati;P;LEC
152;Scarpi;P;GEN
156;Squizzi;P;CHI
157;Storari;P;FIO
158;Toldo;P;INT
161;Koprivec;P;UDI
162;Ujkani;P;PAL
237;Chiellini;D;JUV
238;Chivu;D;INT
306;Mexes;D;ROM
293;Maicon;D;INT
315;Nesta;D;MIL
318;Panucci;D;ROM
280;Juan;D;ROM
281;Kaladze;D;MIL
369;Vargas;D;FIO
239;Cicinho;D;ROM
243;Comotto;D;FIO
279;Jankulovski;D;MIL
287;Legrottaglie;D;JUV
302;Maxwell;D;INT
332;Riise;D;ROM
371;Zambrotta;D;MIL
232;Carrozzieri;D;PAL
262;Domizzi;D;UDI
271;Gamberini;D;FIO
301;Materazzi;D;INT
345;Samuel;D;INT
245;Cordoba;D;INT
297;Mandelli;D;CHI
305;Mellberg;D;JUV
330;Raggi;D;PAL
333;Rinaudo;D;NAP
346;Santacroce;D;NAP
372;Zapata;D;UDI
385;Senderos;D;MIL
201;Accardi;D;SAM
207;Angelo;D;LEC
209;Antunes;D;LEC
212;Balzaretti;D;PAL
215;Bellini;D;ATA
221;Bovo;D;PAL
226;Campagnaro;D;SAM
228;Cannavaro;D;NAP
249;Cribari;D;LAZ
250;Criscito;D;GEN
265;Felipe;D;UDI
309;Molinaro;D;JUV
313;Natali;D;TOR
327;Portanova;D;SIE
328;Potenza;D;SIE
364;Terlizzi;D;CAT
366;Tonetto;D;ROM
217;Bianco;D;CAG
219;Bocchetti;D;GEN
220;Bonera;D;MIL
381;Bottinelli;D;SAM
227;Canini;D;CAG
235;Castellini;D;BOL
252;Dainelli;D;FIO
380;Ferrari;D;GEN
278;Grygera;D;JUV
284;Kroldrup;D;FIO
289;Loria;D;ROM
290;Lucchini;D;SAM
295;Maldini;D;MIL
322;Pieri;D;SAM
323;Pisano F.;D;CAG
324;Pisano M.;D;TOR
334;Rivalta;D;ATA
337;Rodriguez;D;BOL
342;Rozehnal;D;LAZ
357;Siviglia;D;LAZ
358;Sottil;D;CAT
359;Stankevicius;D;SAM
361;Stovini;D;CAT
202;Agostini;D;CAG
218;Biava;D;GEN
224;Burdisso;D;INT
258;Di Loreto;D;TOR
288;Lopez;D;CAG
299;Mantovani;D;CHI
378;Pratali;D;TOR
329;Radu;D;LAZ
347;Santos;D;REG
351;Schiavi;D;LEC
353;Silvestre;D;CAT
354;Silvestri;D;CAT
