328;Rivas;D;INT
330;Rossi A.;D;SIE
350;Troest;D;GEN
366;Da Costa;D;FIO
368;Santos;D;BOL
207;Antunes;D;ROM
208;Ariaudo;D;JUV
210;Artipoli;D;LAZ
216;Belmonte;D;BAR
217;Bianco G.;D;SAM
223;Bonetto;D;LAZ
224;Bonomi;D;BAR
254;Digao;D;MIL
255;Diniz Plonio;D;LIV
258;Fatic;D;GEN
272;Grava;D;NAP
316;Peluso;D;ATA
325;Regini;D;SAM
327;Rinaudo;D;NAP
337;Scaloni;D;LAZ
338;Scardina;D;CHI
339;Signorini;D;GEN
344;Stendardo;D;LAZ
554;Diego;C;JUV
557;Doni C.;C;ATA
528;Cambiasso;C;INT
545;D'agostino;C;UDI
583;Hamsik;C;NAP
683;Thiago Motta;C;INT
504;Ambrosini;C;MIL
548;De Rossi;C;ROM
543;Cossu;C;CAG
672;Sculli;C;GEN
689;Vargas;C;FIO
529;Camoranesi;C;JUV
563;Felipe Melo;C;JUV
593;Kharja;C;GEN
631;Montolivo;C;FIO
649;Pastore;C;PAL
676;Sissoko;C;JUV
550;Delvecchio;C;CAT
575;Gattuso;C;MIL
643;Palladino;C;GEN
644;Palombo;C;SAM
653;Pirlo;C;MIL
655;Pizarro;C;ROM
673;Seedorf;C;MIL
675;Simplicio;C;PAL
679;Stankovic;C;INT
510;Barreto;C;ATA
515;Bertolo;C;PAL
525;Brighi;C;ROM
535;Cigarini;C;NAP
539;Conti;C;CAG
560;Eliseu;C;LAZ
571;Foggia;C;LAZ
573;Galloppa;C;PAR
581;Guarente;C;ATA
591;Jovetic;C;FIO
615;Marchisio;C;JUV
616;Marcolini;C;CHI
670;Santana;C;FIO
680;Taddei;C;ROM
697;Zanetti J.;C;INT
508;Asamoah;C;UDI
564;Ferreira Pinto;C;ATA
582;Guberti;C;ROM
584;Inler;C;UDI
599;Ledesma C.;C;LAZ
600;Ledesma P.;C;CAT
635;Muntari;C;INT
642;Padoin;C;ATA
517;Biagianti;C;CAT
572;Franceschini;C;SAM
578;Giovinco;C;JUV
588;Jankovic;C;GEN
595;Langella;C;BAR
598;Lazzari;C;CAG
601;Leon Julio;C;PAR
611;Mannini;C;SAM
623;Menez;C;ROM
669;Sammarco;C;SAM
511;Barrientos;C;CAT
516;Biabiany;C;PAR
570;Flamini;C;MIL
574;Gargano;C;NAP
608;Maggio;C;NAP
614;Marchionni;C;FIO
617;Mariga;C;PAR
651;Perrotta;C;ROM
659;Quaresma;C;INT
513;Bentivoglio;C;CHI
518;Biondini;C;CAG
526;Brocchi;C;LAZ
536;Codrea;C;SIE
541;Cordova;C;PAR
568;Fini;C;SIE
592;Juric;C;GEN
594;Kuzmanovic;C;FIO
596;Lanzafame;C;PAR
609;Mancini;C;INT
641;Padalino;C;SAM
674;Semioli;C;FIO
681;Tedesco Gia.;C;BOL
501;Abate;C;MIL
503;Alvarez;C;BAR
522;Bombardini;C;BOL
524;Bresciano;C;PAL
530;Candreva;C;LIV
532;Carobbio;C;BAR
533;Caserta;C;ATA
555;Donadel;C;FIO
576;Gazzi;C;BAR
602;Liverani;C;PAL
613;Marchini;C;LIV
620;Matuzalem;C;LAZ
621;Mauri;C;LAZ
624;Mesto;C;GEN
628;Mingazzini;C;BOL
633;Morrone;C;PAR
637;Nocerino;C;PAL
652;Pinzi;C;CHI
658;Pulzetti;C;LIV
662;Rigoni;C;CHI
668;Salihamidzic;C;JUV
687;Valiani;C;BOL
690;Vergassola;C;SIE
694;Vitale;C;NAP
704;Zapater;C;GEN
707;Barone;C;CAG
531;Carboni;C;CAT
534;Cerci;C;ROM
549;De Vezze;C;BAR
